"pcp-dstat 6.3.7 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server1",,,,"User:","admin"
"Cmdline:","dstat -cdnmg --top-cpu --top-io --top-mem --output dstat.csv 3",,,,"Date:","02 Jul 2025 17:19:20 UTC"
"total usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"most expensive cpu process",,"most expensive I/O process",,,"most expensive memory process",
1.500,0.500,98.261,0,1.250,0,0,24714.760,84213.405,7939416,6442252,2916,1601500,0,0,"python3",0.500,"python3",42372.732,289.032,"Core app process",712360
1.500,0.250,97.500,0,1.500,0,0,32402.860,106629.541,7939668,6442000,2916,1601500,0,0,"Core app process",0.750,"python3",42371.817,288.999,"Core app process",712348
0.500,0.500,97.996,0,4.500,0,0,15812.367,52721.888,7973716,6407948,2916,1601504,0,0,"Core app process",0.500,"python3",42366.303,290.988,"Core app process",776268
2.000,0.500,97.752,0,1.250,0,0,42545.749,117542.070,7975228,6406436,2916,1601504,0,0,"Core app process",0.500,"python3",42365.746,282.005,"Core app process",776268
1.500,0.500,97.751,0,4.000,0,0,34154.429,120175.510,7988580,6393084,2916,1601504,0,0,"Core app process",0.500,"python3",42383.533,289.004,"Core app process",776268
1.000,0.250,97.978,0,1.000,0,0,26464.174,87674.700,7976848,6404812,2916,1601508,0,0,"Core app process",0.250,"python3",42349.677,290.936,"Core app process",786564
2.001,0.500,97.529,0,1.250,0,0,2685070.154,105405.686,7981992,6399668,2916,1601508,0,0,"Core app process",0.750,"python3",42380.740,282.085,"Core app process",790760
1.250,0.250,98.001,0,3.000,0,0,21210.123,53108.308,7993392,6388264,2916,1601512,0,0,"db",0.500,"python3",42365.246,284.002,"Core app process",794700
1.750,0.500,97.763,0,2.250,0,0,36933.038,109932.996,8000964,6380688,2916,1601516,0,0,"db",0.250,"python3",42371.780,284.039,"Core app process",788332
1.250,0.500,97.780,0,2.501,0,36.011,33977.281,123242.290,8000964,6380688,2916,1601516,0,0,"Core app process",0.250,"python3",42391.827,289.087,"Core app process",788332
1.250,0.500,98.249,0,2.750,0,0,21633.853,78599.466,8000712,6380940,2916,1601516,0,0,"docker-proxy",0.500,"python3",42358.712,281.998,"Core app process",788332
1.500,0.500,97.249,0,2.250,0,0,35632.778,114775.286,8000712,6380940,2916,1601516,0,0,"Core app process",0.500,"python3",42364.737,281.998,"Core app process",788332
1.500,0.250,98.501,0,3.250,0,0,17355.133,54166.416,7997636,6384016,2916,1601516,0,0,"python3",0.500,"python3",42359.326,289.002,"Core app process",788556
15.750,1.000,82.999,0,1.250,0,0,33036.789,108115.309,7961068,6420584,2916,1601516,0,0,"Core app process",15.000,"python3",42374.729,283.998,"Core app process",713484
1.500,0.250,97.493,0,2.250,0,0,41077.208,138648.578,7957564,6424084,2916,1601520,0,0,"Core app process",0.250,"python3",42356.122,288.980,"Core app process",714508
1.500,0,98.501,0,3.750,0,0,21768.287,69832.922,7956556,6425092,2916,1601520,0,0,"Core app process",0.250,"python3",42357.559,291.004,"Core app process",715276
1.749,0.250,97.460,0,1.749,0,0,39128.082,103885.736,7955796,6425848,2916,1601524,0,0,"Core app process",0.750,"python3",42347.772,283.885,"Core app process",713084
1.000,0.250,97.720,0,4.499,0,0,23626.694,56883.410,7953780,6427864,2916,1601524,0,0,"Core app process",0.250,"python3",42354.903,281.913,"Core app process",712568
1.500,0.250,97.998,0,5.750,0,0,30847.362,103331.863,7950504,6431140,2916,1601524,0,0,"docker-proxy",0.500,"python3",42358.124,283.994,"Core app process",712840
1.500,0.500,97.752,0,1.000,0,0,36514.749,136478.801,7949748,6431896,2916,1601524,0,0,"memory cache",0.500,"python3",42365.870,282.006,"Core app process",713284
1.500,0.500,98.502,0,2.750,0,8.000,18402.313,62899.070,7948992,6432652,2916,1601524,0,0,"python3",0.500,"python3",42361.720,289.005,"Core app process",713720
26.000,0.750,72.999,0,0.750,0,0,19124.858,54965.591,7941928,6439716,2916,1601524,0,0,"Core app process",24.750,"python3",42384.685,281.998,"Core app process",723632
25.268,0.250,73.803,0,0.751,0,0,10518.483,34406.478,7942432,6439212,2916,1601524,0,0,"Core app process",24.768,"python3",42587.298,287.204,"Core app process",723632
25.992,0.750,72.729,0,0,0,0,25491.523,76629.525,7948224,6433416,2916,1601528,0,0,"Core app process",24.743,"python3",42543.522,283.917,"Core app process",732080
25.750,0.500,72.500,0,0.500,0,0,20449.992,79751.968,7962584,6419056,2916,1601528,0,0,"Core app process",25.000,"python3",42549.983,291.000,"Core app process",732080
26.000,0.250,73.000,0,0.250,0,8.000,20355.983,51485.956,7962584,6419056,2916,1601528,0,0,"Core app process",25.000,"python3",42565.963,284.000,"Core app process",732336
25.750,0.250,72.749,0,0.750,0,0,23383.665,56903.185,7962584,6419056,2916,1601528,0,0,"Core app process",24.500,"python3",42545.390,281.996,"Core app process",732336
0.750,0.500,98.252,0,1.750,0,0,20489.342,53953.901,7960484,6421156,2916,1601528,0,0,"memory cache",0.250,"python3",42556.711,282.005,"Core app process",735160
1.000,0.250,98.248,0,0.750,0,0,30263.506,102806.320,7960484,6421156,2916,1601528,0,0,"python3",0.500,"python3",42564.305,281.995,"Core app process",734136
1.500,0.250,97.738,0,2.250,0,0,32725.879,120378.841,7960732,6420908,2916,1601528,0,0,"Core app process",0.250,"python3",42547.642,281.964,"Core app process",734136
17.494,1.749,79.974,0,3.249,0,0,47882284.823,456747.373,7963612,6418024,2916,1601532,0,0,"Core app process",15.745,"python3",42553.246,283.908,"Core app process",772308
1.749,0.750,97.463,0,2.249,0,0,37244.780,123742.755,7966132,6415504,2916,1601532,0,0,"Core app process",0.500,"python3",42536.760,288.890,"Core app process",769152
1.500,0,97.718,0,5.498,0,0,16217.619,54138.036,7967052,6414580,2916,1601536,0,0,"Core app process",0.500,"python3",42539.884,288.904,"Core app process",771968
2.250,0.250,97.749,0,2.500,0,0,33830.547,108330.551,7971336,6410296,2916,1601536,0,0,"Core app process",0.500,"python3",42560.431,283.996,"Core app process",773208
1.250,0.750,97.470,0,2.249,0,0,35189.287,119765.538,7972344,6409288,2916,1601536,0,0,"db",0.250,"python3",42537.050,288.912,"Core app process",773336
0.750,0.250,97.754,0,1.500,0,4.000,24259.023,75651.192,7973100,6408532,2916,1601536,0,0,"python3",0.500,"python3",42566.796,282.012,"Core app process",773336
1.500,0.500,97.720,0,1.749,0,0,42161.219,119665.724,7973100,6408532,2916,1601536,0,0,"db",0.500,"python3",42539.104,281.915,"Core app process",773336
1.000,0.250,98.722,0,1.999,0,0,18860.584,52940.796,7973852,6407780,2916,1601536,0,0,"Core app process",0.250,"python3",42551.780,290.916,"Core app process",773464
1.250,0.250,98.027,0,2.751,0,0,29578.056,99627.134,7974356,6407276,2916,1601536,0,0,"memory cache",0.500,"python3",42573.595,284.077,"Core app process",773464
6.748,0.250,91.972,0,1.000,0,0,70722.215,168231.179,7991836,6389796,2916,1601536,0,0,"Core app process",5.498,"python3",42542.895,283.913,"Core app process",774932
1.750,0.250,98.228,0,1.750,0,0,19941.494,66816.901,7991836,6389796,2916,1601536,0,0,"Core app process",0.250,"python3",42546.386,283.936,"Core app process",774116
1.751,1.000,97.028,0,2.751,0,0,38620.144,124832.020,7991836,6389796,2916,1601536,0,0,"Core app process",0.500,"python3",42568.283,282.081,"Core app process",774116
1.750,0,98.012,0,1.750,0,0,19905.479,65590.169,7955044,6426588,2916,1601536,0,0,"Core app process",0.250,"python3",42573.302,291.036,"Core app process",712388
2.000,0.250,97.522,0,5.501,0,0,31714.273,103091.641,7954652,6426980,2916,1601536,0,0,"Core app process",0.500,"python3",42553.758,282.065,"Core app process",713924
3.750,0.750,94.499,0.250,3.250,0,7047.940,40209.656,116783.002,7955544,6426088,2916,1601536,0,0,"Core app process",0.500,"python3",42556.636,281.998,"Core app process",712332
1.001,0.250,98.055,0,1.501,0,0,19974.197,68259.263,7954032,6427600,2916,1601536,0,0,"Core app process",0.500,"python3",42588.873,282.158,"Core app process",711968
2.000,0.250,97.251,0,1.750,0,16.000,41862.382,122165.114,7953780,6427852,2916,1601536,0,0,"db",0.500,"python3",42557.388,289.003,"Core app process",712024
1.750,0.250,97.751,0,1.000,0,4.000,23782.155,65975.430,7949748,6431884,2916,1601536,0,0,"Pronghorn Autom",0.500,"python3",42549.277,289.002,"Core app process",712348
1.250,0,98.526,0,2.001,0,12.003,19091.076,49289.104,7948236,6433396,2916,1601536,0,0,"Core app process",0.250,"python3",42565.317,284.076,"Core app process",712228
1.500,0.750,98.000,0,4.250,0,0,38129.883,122297.624,7946380,6435244,2916,1601544,0,0,"Core app process",0.250,"python3",42559.869,281.999,"Core app process",712968
1.750,0.250,98.022,0,1.750,0,0,29872.669,108310.178,7936256,6445364,2916,1601548,0,0,"memory cache",0.250,"python3",42580.505,284.063,"Core app process",722924
1.749,0.500,97.209,0,2.249,0,0,38188.877,132655.993,7948184,6433436,2916,1601548,0,0,"Core app process",0.750,"python3",42529.044,283.880,"Core app process",755604
1.500,0.500,98.248,0,4.250,0,0,22072.469,67730.370,7951596,6430024,2916,1601548,0,0,"Core app process",0.250,"python3",42560.976,288.993,"Core app process",760860
1.501,0,97.814,0,4.003,0,0,23588.384,63621.493,7952100,6429520,2916,1601548,0,0,"Core app process",0.750,"python3",42593.779,289.189,"Core app process",760860
1.500,0.500,97.753,0,3.000,0,0,30512.826,104122.818,7952608,6429016,2916,1601544,0,0,"Core app process",0.250,"python3",42562.152,289.008,"Core app process",760860
2.000,0.500,97.752,0,5.250,0,0,29670.642,114386.475,7953112,6428512,2916,1601544,0,0,"rcu_preempt",0.250,"python3",42557.921,282.006,"Core app process",760860
1.750,0.500,97.251,0,2.000,0,0,41158.332,119594.966,7953868,6427756,2916,1601544,0,0,"Core app process",0.250,"python3",42556.344,289.002,"Core app process",760200
1.250,0.250,98.001,0,1.500,0,0,24634.292,69032.818,7953868,6427756,2916,1601544,0,0,"memory cache",0.500,"python3",42557.505,282.003,"Core app process",760456
1.250,0,98.462,0,2.999,0,0,20632.086,55758.613,7954120,6427504,2916,1601544,0,0,"db",0.250,"python3",42534.685,281.892,"Core app process",760712
1.500,0.250,97.748,0,3.000,0,16.000,28917.477,107976.046,7954120,6427504,2916,1601544,0,0,"Core app process",0.250,"python3",42564.230,283.995,"Core app process",760712
0.750,0.250,97.998,0,3.000,0,0,28715.390,104323.782,7954120,6427504,2916,1601544,0,0,"memory cache",0.500,"python3",42548.095,281.994,"Core app process",760968
1.500,0.250,97.251,0,1.250,0,0,36953.518,124525.747,7954116,6427504,2916,1601548,0,0,"Core app process",0.500,"python3",42555.597,284.004,"Core app process",760968
2.250,0.500,96.752,0,3.000,0,117.003,5315207.984,79759.056,7949724,6431896,2916,1601548,0,0,"Core app process",1.500,"python3",42581.097,282.007,"Core app process",741388
1.500,0.500,97.778,0,3.001,0,0,22434.476,62100.927,7950260,6431360,2916,1601548,0,0,"python3",0.500,"python3",42578.291,282.081,"Core app process",745272
2.000,0.250,96.238,0,3.999,0,7.999,5422713.672,195262.323,7945084,6436536,2916,1601548,0,0,"Core app process",1.250,"python3",42548.623,290.963,"Core app process",751276
1.750,0.250,98.001,0,3.250,0,0,28870.252,111494.974,7963544,6418076,2916,1601548,0,0,"Core app process",0.250,"python3",42561.372,291.003,"Core app process",749888
1.250,0.500,97.001,0,1.250,0,0,41364.620,120225.802,7963544,6418076,2916,1601548,0,0,"db",0.500,"python3",42568.638,284.004,"Core app process",749888
1.751,0.500,97.781,0,2.251,0,0,24015.626,70192.290,7963544,6418076,2916,1601548,0,0,"memory cache",0.500,"python3",42587.524,282.090,"Core app process",749888
0.750,0.250,98.471,0,2.249,0,0,18968.376,55563.526,7963544,6418076,2916,1601548,0,0,"Pronghorn MOP A",0.250,"python3",42553.383,281.916,"Core app process",749888
1.751,0.750,97.029,0,4.001,0,0,34580.481,127214.559,7964044,6417576,2916,1601548,0,0,"Core app process",0.500,"python3",42566.902,282.086,"Core app process",748992
1.000,0.750,98.248,0,2.000,0,12.000,29229.372,103597.774,7964044,6417576,2916,1601548,0,0,"Core app process",0.250,"python3",42562.086,281.994,"Core app process",750272
1.000,0.500,97.028,0,1.751,0,0,38550.228,129243.642,7964044,6417576,2916,1601548,0,0,"Core app process",0.500,"python3",42587.403,282.082,"Core app process",751168
1.500,0.250,98.007,0,4.500,0,72.005,18154.329,50463.693,7962924,6418696,2916,1601548,0,0,"Core app process",0.500,"python3",42567.115,282.021,"Core app process",756288
1.000,0.250,98.248,0,5.750,0,0,21474.658,61941.013,7962924,6418696,2916,1601548,0,0,"docker-proxy",0.500,"python3",42562.322,283.995,"Core app process",754240
1.750,0.500,97.751,0,2.750,0,0,36350.263,126336.913,7963176,6418444,2916,1601548,0,0,"db",0.250,"python3",42569.308,289.002,"Core app process",754240
1.500,0.250,98.218,0,1.250,0,0,30685.971,113031.059,7963928,6417688,2916,1601552,0,0,"python3",0.500,"python3",42547.095,288.906,"Core app process",754240
1.250,0.500,97.282,0,2.251,0,0,41341.751,119457.733,7964680,6416932,2916,1601556,0,0,"python3",0.500,"python3",42579.162,289.096,"Core app process",754240
2.000,0.250,97.747,0,1.500,0,0,22405.403,52135.611,7967952,6413656,2916,1601560,0,0,"Pronghorn Autom",0.500,"python3",42564.866,281.992,"Core app process",754368
1.250,0,98.469,0,4.748,0,0,19505.803,55642.322,7967700,6413908,2916,1601560,0,0,"systemd",0.250,"python3",42553.481,283.910,"Core app process",755136
2.000,0.250,97.498,0,3.250,0,0,34617.416,132371.767,7967700,6413908,2916,1601560,0,0,"Core app process",0.250,"python3",42577.282,283.995,"Core app process",756544
1.250,0.500,97.749,0,3.000,0,0,31119.556,106978.473,7953392,6428216,2916,1601560,0,0,"Core app process",0.500,"python3",42556.393,281.996,"Core app process",732492
3.000,0,97.004,0,2.000,0,16.001,37779.751,127520.911,7951572,6430036,2916,1601560,0,0,"Core app process",0.750,"python3",42573.973,282.013,"Core app process",731916
1.250,0.250,98.248,0,2.000,0,108.998,19660.614,50201.014,7951180,6430428,2916,1601560,0,0,"Core app process",0.250,"python3",42560.164,283.994,"Core app process",731216
1.749,0,97.471,0,1.999,0,0,23699.865,70165.877,7951068,6430540,2916,1601560,0,0,"Core app process",1.000,"python3",42563.187,283.915,"Core app process",731524
1.250,0.500,98.251,0,2.250,0,0,36250.297,128231.052,7951068,6430540,2916,1601560,0,0,"docker-proxy",0.500,"python3",42557.349,282.002,"Core app process",731972
1.250,0.500,97.751,0,0.750,0,4.000,38821.281,122438.887,7951316,6430292,2916,1601560,0,0,"memory cache",0.500,"python3",42559.308,282.002,"Core app process",731140
2.001,0,97.279,0,1.250,0,0,39967.883,113105.627,7964164,6417440,2916,1601564,0,0,"db",0.500,"python3",42584.661,291.087,"Core app process",730404
0.500,0.250,98.250,0,2.250,0,0,20221.935,48705.844,7964164,6417440,2916,1601564,0,0,"db",0.250,"python3",42565.864,281.999,"Core app process",730676
1.500,0.500,98.259,0,2.500,0,0,20675.916,62991.839,7962512,6419092,2916,1601564,0,0,"memory cache",0.500,"python3",42570.946,282.026,"Core app process",730980
3.000,0.750,95.752,0,2.250,0,0,5381145.480,203503.859,7958560,6423044,2916,1601564,0,0,"Core app process",1.250,"python3",42569.016,282.007,"Core app process",737856
1.251,0.500,98.324,0,1.251,0,0,36859.752,113079.139,7959568,6422036,2916,1601564,0,0,"docker-proxy",0.500,"python3",42589.066,282.212,"Core app process",738880
2.000,0.750,96.993,0,2.000,0,0,35893.353,118291.277,7959820,6421784,2916,1601564,0,0,"Core app process",0.500,"python3",42574.860,281.979,"Core app process",739776
1.250,0.250,97.979,0,0.750,0,113.976,17631.260,48091.798,7959208,6422396,2916,1601564,0,0,"Core app process",0.500,"python3",42548.974,283.940,"Core app process",738668
1.500,0.250,98.000,0,2.250,0,0,26523.118,82446.366,7957452,6424132,2916,1601584,0,0,"memory cache",0.500,"python3",42557.189,291.001,"Core app process",738088
1.999,0.750,97.467,0,1.749,0,0,36251.909,119464.154,7957424,6424160,2916,1601584,0,0,"db",0.500,"python3",42542.810,288.904,"Core app process",738600
1.000,0.250,97.749,0,3.750,0,0,36359.784,119399.291,7957420,6424160,2916,1601588,0,0,"Core app process",0.250,"python3",42560.747,281.998,"Core app process",739752
1.750,0.500,97.250,0,1.250,0,8.000,38033.943,108881.837,7957420,6424160,2916,1601588,0,0,"docker-proxy",0.500,"python3",42547.936,284.000,"Core app process",742056
1.250,0.250,98.730,0,1.250,0,0,17378.536,45266.977,7957416,6424160,2916,1601592,0,0,"dockerd",0.250,"python3",42539.520,288.942,"Core app process",743080
1.499,0,97.687,0,1.749,0,0,25311.562,78037.322,7957416,6424160,2916,1601592,0,0,"Core app process",0.500,"python3",42526.383,281.817,"Core app process",743720
2.000,0.500,98.251,0,3.250,0,0,33505.278,118465.984,7957416,6424160,2916,1601592,0,0,"memory cache",0.500,"python3",42551.354,282.002,"Core app process",743720
1.000,0.500,97.998,0,2.500,0,39.999,28653.441,102819.993,7957416,6424160,2916,1601592,0,0,"memory cache",0.500,"python3",42558.169,281.994,"Core app process",743848
1.750,0.250,97.254,0,2.000,0,0,35124.488,114958.871,7957664,6423908,2916,1601596,0,0,"Core app process",0.500,"python3",42549.803,284.012,"Core app process",744744
1.500,0.500,98.502,0,2.750,0,109.002,18313.297,50616.820,7957916,6423656,2916,1601596,0,0,"Core app process",0.500,"python3",42392.687,282.005,"Core app process",745896
1.500,0.250,97.501,0,2.000,0,0,27913.227,85376.695,7958420,6423152,2916,1601596,0,0,"Core app process",0.500,"python3",42402.345,282.002,"Core app process",747688
0.750,0.250,97.725,0,2.999,0,0,32651.581,113366.769,7959176,6422396,2916,1601596,0,0,"memory cache",0.500,"python3",42376.073,290.925,"Core app process",748840
1.500,0.250,97.750,0,2.250,0,0,29299.897,109857.616,7959176,6422396,2916,1601596,0,0,"memory cache",0.500,"python3",42376.852,290.999,"Core app process",750376
0.750,0,97.499,0,3.000,0,0,38163.741,108809.263,7956152,6425420,2916,1601596,0,0,"memory cache",0.500,"python3",42387.713,281.998,"Core app process",730260
1.999,0.500,97.719,0,3.999,0,0,19601.724,48897.344,7958440,6423132,2916,1601596,0,0,"Pronghorn Autom",0.750,"python3",42379.431,290.907,"Core app process",730464
1.000,0.250,98.226,0,1.250,0,0,26379.482,80400.135,7955164,6426408,2916,1601596,0,0,"Core app process",0.250,"python3",42401.523,290.928,"Core app process",729808
1.750,0.500,97.498,0,2.750,0,0,31525.501,119522.107,7955164,6426408,2916,1601596,0,0,"Core app process",0.500,"python3",42381.329,281.996,"Core app process",729620
1.000,0.250,98.007,0,5.500,0,0,17805.230,51165.533,7955164,6426408,2916,1601596,0,0,"db",0.500,"python3",42390.927,282.019,"Core app process",730036
2.500,0.250,97.252,0,1.000,0,0,34711.739,114340.435,7955164,6426408,2916,1601596,0,0,"Core app process",0.750,"python3",42382.902,284.006,"Core app process",729780
1.249,0.750,97.709,0,2.999,0,0,30478.065,101780.803,7943788,6437784,2916,1601596,0,0,"Core app process",0.500,"python3",42374.016,281.880,"Core app process",737188
1.500,0.500,97.500,0,1.750,0,0,27754.972,84977.915,7944040,6437532,2916,1601596,0,0,"Core app process",0.750,"python3",42380.958,289.000,"Core app process",738084
1.250,0.750,97.747,0,2.250,0,0,33449.130,116940.957,7944292,6437280,2916,1601596,0,0,"Core app process",0.250,"python3",42370.898,288.992,"Core app process",738468
0.250,0.500,98.000,0,2.000,0,0,17416.045,58866.152,7944544,6437028,2916,1601596,0,0,"Core app process",0.250,"python3",42373.110,289.001,"Core app process",733772
23.244,4.499,72.980,0,1.500,0,0,21384634.307,350247.258,7959588,6421976,2916,1601612,0,0,"Core app process",18.745,"python3",47693.826,281.922,"Core app process",747948
2.003,0,97.633,0,4.756,0,0,30562.490,99295.799,7969904,6411644,2916,1601628,0,0,"db",0.501,"python3",43146.574,291.396,"Core app process",749356
0.750,0.250,98.530,0,2.251,0,20.006,26316.882,79167.711,7970408,6411140,2916,1601628,0,0,"memory cache",0.250,"python3",43101.909,284.085,"Core app process",750892
1.750,0.250,97.749,0,3.000,0,0,33333.656,125770.703,7970660,6410888,2916,1601628,0,0,"Core app process",0.500,"python3",43077.556,288.997,"Core app process",752172
1.250,0,98.501,0,2.000,0,0,17508.172,52146.512,7961900,6419708,2916,1601624,0,0,"memory cache",0.250,"python3",42910.422,284.003,"Core app process",736264
1.500,0.500,96.738,0,2.500,0,0,37492.360,124052.648,7961900,6419708,2916,1601624,0,0,"Core app process",0.750,"python3",42886.693,281.965,"Core app process",737288
1.250,0.750,98.029,0,1.751,0,0,28455.277,92598.936,7961900,6419708,2916,1601624,0,0,"memory cache",0.500,"python3",42914.484,289.084,"Core app process",738184
1.000,0.250,97.753,0,2.500,0,0,34035.892,90248.365,7961900,6419708,2916,1601624,0,0,"Core app process",0.750,"python3",42710.119,289.008,"Core app process",740104
2.500,0.250,97.749,0,2.750,0,0,35477.698,122580.958,7961900,6419708,2916,1601624,0,0,"Core app process",0.250,"python3",42715.637,281.998,"Core app process",741256
1.000,0.250,98.541,0,1.000,0,0,16124.726,57437.958,7961900,6419708,2916,1601624,0,0,"memory cache",0.250,"python3",42729.823,282.118,"Core app process",742536
1.750,0.500,97.498,0,1.500,0,0,45553.176,110883.995,7963156,6418448,2916,1601628,0,0,"rcu_preempt",0.250,"python3",42714.228,288.995,"Core app process",744200
1.250,1.000,98.028,0,2.001,0,0,28052.059,89159.613,7963156,6418448,2916,1601628,0,0,"memory cache",0.500,"python3",42726.274,282.081,"Core app process",732860
1.499,0.250,97.960,0,4.998,0,0,28700.370,91352.983,7966432,6415172,2916,1601628,0,0,"db",0.250,"python3",42697.698,288.883,"Core app process",732108
1.500,0,97.523,0,3.251,0,0,32477.691,123869.332,7966432,6415172,2916,1601628,0,0,"python3",0.500,"python3",42729.118,284.067,"Core app process",732004
1.000,0.500,98.234,0,3.749,0,0,18512.901,53193.096,7965672,6415928,2916,1601632,0,0,"db",0.500,"python3",42698.852,288.952,"Core app process",731348
1.502,0.501,97.349,0,2.252,0,0,42468.363,117524.000,7965924,6415676,2916,1601632,0,0,"Core app process",0.501,"python3",42749.650,282.288,"Core app process",732400
1.000,0.500,97.704,0,1.249,0,0,28039.677,90445.025,7951240,6430356,2916,1601636,0,0,"Core app process",0.500,"python3",42697.712,283.865,"Core app process",730116
1.251,0.250,97.818,0,2.252,0,0,27528.155,91465.644,7950856,6430740,2916,1601636,0,0,"python3",0.500,"python3",42741.741,289.201,"Core app process",730756
1.250,0.250,97.251,0,2.250,0,0,39978.298,128782.959,7951356,6430236,2916,1601640,0,0,"db",0.500,"python3",42715.318,289.002,"Core app process",732036
1.000,0,97.746,0,3.250,0,0,18664.318,62470.718,7951356,6430236,2916,1601640,0,0,"Core app process",0.250,"python3",42701.440,283.990,"Core app process",732932
0.750,0.500,97.726,0,2.749,0,0,43877.196,110822.713,7951356,6430236,2916,1601640,0,0,"Core app process",0.250,"python3",42710.484,281.931,"Core app process",733060
6.998,0.500,91.722,0,3.249,0,0,29199.236,87660.690,7950208,6431384,2916,1601640,0,0,"Pronghorn Autom",6.248,"python3",42705.183,288.913,"Core app process",733956
1.500,0.750,98.000,0,3.250,0,0,25755.951,85445.837,7943292,6438300,2916,1601640,0,0,"Pronghorn Autom",0.250,"python3",42715.918,288.999,"Core app process",726704
1.250,0.500,97.999,0,2.750,0,0,34821.578,126050.473,7942312,6439280,2916,1601640,0,0,"Core app process",0.750,"python3",42699.483,281.997,"Core app process",725592
0.500,0.250,97.997,0,5.000,0,0,20991.261,58629.935,7942788,6438804,2916,1601640,0,0,"Core app process",0.250,"python3",42704.496,281.990,"Core app process",727128
2.001,0.250,97.526,0,2.251,0,0,31865.391,107386.277,7942788,6438804,2916,1601640,0,0,"Core app process",0.500,"python3",42724.250,289.076,"Core app process",726288
1.250,0.500,97.747,0,1.500,0,0,28936.219,93385.480,7942788,6438804,2916,1601640,0,0,"Core app process",0.250,"python3",42707.847,281.992,"Core app process",725808
1.500,0.250,97.747,0,2.000,0,0,25452.271,83733.601,7942536,6439056,2916,1601640,0,0,"Core app process",0.750,"python3",42706.776,290.992,"Core app process",726024
1.750,0.250,97.747,0,3.250,0,0,37040.708,124039.674,7942536,6439056,2916,1601640,0,0,"db",0.500,"python3",42732.510,281.990,"Core app process",726376
0.500,0.500,98.251,0,2.250,0,0,21354.187,67746.593,7942536,6439056,2916,1601640,0,0,"Pronghorn Opera",0.250,"python3",42700.374,289.003,"Core app process",726276
1.500,0.250,97.479,0.250,1.000,0,15.997,37714.032,103552.123,7942536,6439056,2916,1601640,0,0,"memory cache",0.500,"python3",42708.977,281.940,"Core app process",727120
0.750,0.500,98.248,0,1.750,0,4.000,27369.364,87817.958,7942536,6439056,2916,1601640,0,0,"db",0.250,"python3",42707.007,288.993,"Core app process",725984
1.499,0.500,97.961,0,1.999,0,7.997,25305.965,82375.336,7942536,6439056,2916,1601640,0,0,"docker-proxy",0.500,"python3",42698.069,281.888,"Core app process",726260
4.249,1.000,94.731,0.250,3.249,0,6882.634,34797.094,127980.602,7939524,6442080,2916,1601628,0,0,"docker-proxy",0.500,"python3",42731.520,281.944,"Core app process",726028
1.250,0.250,98.214,0,3.249,0,0,19678.717,59863.845,7938756,6442836,2916,1601640,0,0,"db",0.500,"python3",42693.200,281.896,"Core app process",726164
1.500,0.750,97.732,0,1.500,0,0,33096.872,104770.600,7939260,6442332,2916,1601640,0,0,"memory cache",0.500,"python3",42698.094,283.947,"Core app process",726888
1.500,0.500,97.751,0,2.500,0,0,27747.250,90800.820,7932868,6448724,2916,1601640,0,0,"Core app process",0.500,"python3",42700.385,289.003,"Core app process",733332
1.500,0,98.248,0,3.000,0,0,27521.552,87619.575,7932860,6448724,2916,1601648,0,0,"Core app process",0.500,"python3",42721.305,290.995,"Core app process",734100
1.500,0.250,97.781,0,3.751,0,0,35997.457,124851.737,7933616,6447968,2916,1601648,0,0,"Core app process",0.500,"python3",42714.595,289.092,"Core app process",734612
0.750,0.250,98.252,0,1.750,0,0,17248.407,64987.534,7933868,6447716,2916,1601648,0,0,"Core app process",0.250,"python3",42714.008,282.007,"Core app process",730032
1.250,0,97.528,0,2.501,0,0,38538.919,103405.296,7933868,6447716,2916,1601648,0,0,"db",0.500,"python3",42725.105,282.080,"Core app process",729888
1.000,0.500,97.995,0,2.250,0,0,26964.652,86095.695,7933868,6447716,2916,1601648,0,0,"Core app process",0.500,"python3",42710.864,281.986,"Core app process",729088
1.250,0,98.216,0,1.999,0,0,25962.995,85076.492,7933868,6447716,2916,1601648,0,0,"db",0.250,"python3",42712.186,281.902,"Core app process",729200
1.751,0.500,97.801,0,2.501,0,16.008,32921.284,123839.016,7933868,6447716,2916,1601648,0,0,"memory cache",0.500,"python3",42737.437,282.148,"Core app process",728956
20.007,1.250,78.279,0,2.001,0,0,23883959.851,165961.043,7960004,6421580,2916,1601648,0,0,"Core app process",19.507,"python3",42722.972,289.108,"Core app process",757168
2.249,0.500,96.970,0,2.249,0,0,30337.719,94093.216,7961136,6420448,2916,1601648,0,0,"Core app process",0.500,"python3",42717.932,283.913,"Core app process",759464
1.000,0.750,97.975,0,1.999,0,0,30220.276,93296.153,7961892,6419692,2916,1601648,0,0,"Core app process",0.500,"python3",42699.086,281.928,"Core app process",760488
16.242,1.000,82.959,0,1.999,0,0,28318.834,92857.548,7942216,6439364,2916,1601652,0,0,"Core app process",14.993,"python3",42882.548,290.855,"Core app process",713212
1.000,0.500,97.473,0,3.999,0,3.999,38235.258,127390.209,7942216,6439364,2916,1601652,0,0,"docker-proxy",0.500,"python3",42877.953,283.920,"Core app process",711936
